antecedents,consequents,support,confidence,lift
"Sexo de la victima=Mujer, Factor Desencadenante de la Agresión=Intolerancia, machismo, Sexo del Agresor=Mujer","Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.119,0.633,0.981
"Sexo de la victima=Hombre, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda","Zona del Hecho=Cabecera municipal, Sexo del Agresor=Hombre",0.148,0.632,1.132
"Sexo de la victima=Mujer, Escenario del Hecho=Vivienda",Sexo del Agresor=Hombre,0.289,0.631,0.962
Zona del Hecho=Cabecera municipal,"Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.526,0.629,1.05
"Zona del Hecho=Cabecera municipal, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda, Sexo de la victima=Mujer",Sexo del Agresor=Hombre,0.2,0.625,0.953
Sexo de la victima=Hombre,"Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.257,0.625,0.969
"Zona del Hecho=Cabecera municipal, Sexo del Agresor=Hombre","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.349,0.624,1.042
"Sexo de la victima=Hombre, Sexo del Agresor=Hombre","Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.185,0.623,0.966
Sexo del Agresor=Mujer,"Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.21,0.62,1.037
"Sexo de la victima=Mujer, Sexo del Agresor=Mujer","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.141,0.619,1.035
"Sexo de la victima=Mujer, Sexo del Agresor=Hombre","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.222,0.619,1.035
"Zona del Hecho=Cabecera municipal, Sexo de la victima=Mujer",Sexo del Agresor=Hombre,0.306,0.619,0.944
Sexo de la victima=Mujer,"Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.364,0.617,1.031
Sexo del Agresor=Mujer,"Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.208,0.615,0.953
Sexo de la victima=Hombre,"Zona del Hecho=Cabecera municipal, Sexo del Agresor=Hombre",0.252,0.615,1.1
"Sexo de la victima=Mujer, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Sexo del Agresor=Hombre,0.222,0.61,0.931
"Sexo de la victima=Hombre, Escenario del Hecho=Vivienda","Zona del Hecho=Cabecera municipal, Sexo del Agresor=Hombre",0.185,0.609,1.089
Sexo de la victima=Mujer,Sexo del Agresor=Hombre,0.359,0.608,0.927
"Zona del Hecho=Cabecera municipal, Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Sexo de la victima=Mujer,0.32,0.608,1.031
"Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",Sexo de la victima=Mujer,0.364,0.608,1.031
"Zona del Hecho=Cabecera municipal, Factor Desencadenante de la Agresión=Intolerancia, machismo, Sexo de la victima=Mujer",Sexo del Agresor=Hombre,0.245,0.607,0.925
"Sexo de la victima=Mujer, Sexo del Agresor=Mujer","Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",0.137,0.604,0.936
"Sexo de la victima=Hombre, Zona del Hecho=Cabecera municipal","Factor Desencadenante de la Agresión=Intolerancia, machismo, Escenario del Hecho=Vivienda",0.206,0.603,1.007
"Zona del Hecho=Cabecera municipal, Escenario del Hecho=Vivienda",Sexo de la victima=Mujer,0.388,0.602,1.021
Escenario del Hecho=Vivienda,Sexo de la victima=Mujer,0.458,0.601,1.019
"Zona del Hecho=Cabecera municipal, Factor Desencadenante de la Agresión=Intolerancia, machismo",Sexo de la victima=Mujer,0.404,0.6,1.018
